DBSnapshotIdentifier,DBInstanceIdentifier,Region,SnapshotCreateTime,Engine,AllocatedStorage,Status,Tags
awsbackup:job-f54c2da8-b134-c848-05de-9427aea268be,licensing-prod,us-east-1,2023-04-12 06:46:22.873000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-f8a6da03-ca58-e0cb-449e-74105ed09bc8,aws-ni,us-east-1,2023-05-31 07:24:17.664000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-f9495377-ab01-5e0b-3d23-7b9e5eccac5a,aws-ci,us-east-1,2023-04-12 07:12:44.098000+00:00,mysql,20,available,"""env"": ""prod"""
awsbackup:job-fc6b4031-8bc6-4f1e-da8a-484bab564a9a,licensing-prod,us-east-1,2023-04-05 06:44:02.094000+00:00,mysql,200,available,"""env"": ""prod"""
awsbackup:job-fdcf2378-a6eb-7063-bf51-80f96636d581,aws-ci,us-east-1,2023-02-04 07:12:15.042000+00:00,mysql,20,available,"""env"": ""prod"""
brent,licensing-test,us-east-1,2020-12-15 22:16:47.320000+00:00,mysql,20,available,
brent-archivedb,licensing-prod,us-east-1,2020-12-18 18:26:43.142000+00:00,mysql,100,available,
brent-basedb-update,licensing-prod,us-east-1,2020-12-17 20:37:38.929000+00:00,mysql,100,available,
brent-beforemigrationsforleek,licensing-prod,us-east-1,2020-12-16 18:25:50.174000+00:00,mysql,100,available,
brent-perpareforleek,licensing-prod,us-east-1,2020-12-16 12:45:55.562000+00:00,mysql,100,available,
brent-removing-custeval,licensing-prod,us-east-1,2021-04-20 13:21:51.438000+00:00,mysql,100,available,
licensing-deployment-pea,licensing-prod,us-east-1,2021-04-05 18:00:50.101000+00:00,mysql,100,available,
licensing-deployment-pea-prod,licensing-prod,us-east-1,2021-04-06 17:45:01.455000+00:00,mysql,100,available,
licensing-prod-2-snapshot,licensing-prod-2,us-east-1,2023-02-10 16:31:21.800000+00:00,mysql,200,available,"""env"": ""prod"""
manual-snapshot-2022-10-31,licensing-prod,us-east-1,2022-10-31 17:07:18.024000+00:00,mysql,200,available,
per-spencer-pre-upgrade,licensing-prod,us-east-1,2020-09-17 20:06:52.074000+00:00,mysql,100,available,
perspencer-preupgrade,licensing-prod,us-east-1,2020-09-16 17:58:47.477000+00:00,mysql,100,available,
rds:aws-ci-2023-07-11-06-58,aws-ci,us-east-1,2023-07-11 06:59:07.333000+00:00,mysql,20,available,"""env"": ""prod"""
rds:aws-ci-2023-07-12-06-59,aws-ci,us-east-1,2023-07-12 06:59:35.086000+00:00,mysql,20,available,"""env"": ""prod"""
rds:aws-ci-2023-07-13-06-58,aws-ci,us-east-1,2023-07-13 06:58:45.861000+00:00,mysql,20,available,"""env"": ""prod"""
rds:aws-ci-2023-07-14-06-58,aws-ci,us-east-1,2023-07-14 06:59:05.569000+00:00,mysql,20,available,"""env"": ""prod"""
rds:aws-ci-2023-07-15-06-59,aws-ci,us-east-1,2023-07-15 06:59:35.109000+00:00,mysql,20,available,"""env"": ""prod"""
rds:aws-ci-2023-07-16-06-59,aws-ci,us-east-1,2023-07-16 06:59:29.408000+00:00,mysql,20,available,"""env"": ""prod"""
rds:aws-ci-2023-07-17-06-59,aws-ci,us-east-1,2023-07-17 06:59:17.262000+00:00,mysql,20,available,"""env"": ""prod"""
rds:aws-ci-2023-07-18-06-58,aws-ci,us-east-1,2023-07-18 06:58:55.662000+00:00,mysql,20,available,"""env"": ""prod"""
rds:aws-ci-2023-07-19-06-59,aws-ci,us-east-1,2023-07-19 06:59:22.434000+00:00,mysql,20,available,"""env"": ""prod"""
rds:aws-ni-2023-07-12-06-56,aws-ni,us-east-1,2023-07-12 06:56:19.252000+00:00,mysql,20,available,"""env"": ""prod"""
rds:aws-ni-2023-07-13-06-56,aws-ni,us-east-1,2023-07-13 06:56:20.189000+00:00,mysql,20,available,"""env"": ""prod"""
rds:aws-ni-2023-07-14-06-56,aws-ni,us-east-1,2023-07-14 06:56:34.556000+00:00,mysql,20,available,"""env"": ""prod"""
rds:aws-ni-2023-07-15-06-56,aws-ni,us-east-1,2023-07-15 06:56:35.292000+00:00,mysql,20,available,"""env"": ""prod"""
rds:aws-ni-2023-07-16-06-55,aws-ni,us-east-1,2023-07-16 06:55:45.404000+00:00,mysql,20,available,"""env"": ""prod"""
rds:aws-ni-2023-07-17-06-56,aws-ni,us-east-1,2023-07-17 06:56:20.068000+00:00,mysql,20,available,"""env"": ""prod"""
rds:aws-ni-2023-07-18-06-55,aws-ni,us-east-1,2023-07-18 06:55:49.517000+00:00,mysql,20,available,"""env"": ""prod"""
rds:aws-ni-2023-07-19-06-57,aws-ni,us-east-1,2023-07-19 06:57:59.120000+00:00,mysql,20,available,"""env"": ""prod"""
rds:licensing-prod-2023-07-04-09-51,licensing-prod,us-east-1,2023-07-04 09:51:58.541000+00:00,mysql,200,available,"""env"": ""prod"""
rds:licensing-prod-2023-07-05-09-51,licensing-prod,us-east-1,2023-07-05 09:51:47.772000+00:00,mysql,200,available,"""env"": ""prod"""
rds:licensing-prod-2023-07-06-09-51,licensing-prod,us-east-1,2023-07-06 09:51:50.502000+00:00,mysql,200,available,"""env"": ""prod"""
rds:licensing-prod-2023-07-07-09-51,licensing-prod,us-east-1,2023-07-07 09:52:09.425000+00:00,mysql,200,available,"""env"": ""prod"""
rds:licensing-prod-2023-07-08-09-52,licensing-prod,us-east-1,2023-07-08 09:53:01.057000+00:00,mysql,200,available,"""env"": ""prod"""
rds:licensing-prod-2023-07-09-09-53,licensing-prod,us-east-1,2023-07-09 09:53:43.222000+00:00,mysql,200,available,"""env"": ""prod"""
rds:licensing-prod-2023-07-10-09-51,licensing-prod,us-east-1,2023-07-10 09:52:04.970000+00:00,mysql,200,available,"""env"": ""prod"""
rds:licensing-prod-2023-07-11-09-51,licensing-prod,us-east-1,2023-07-11 09:51:59.958000+00:00,mysql,200,available,"""env"": ""prod"""
rds:licensing-prod-2023-07-12-09-51,licensing-prod,us-east-1,2023-07-12 09:52:03.008000+00:00,mysql,200,available,"""env"": ""prod"""
rds:licensing-prod-2023-07-13-09-51,licensing-prod,us-east-1,2023-07-13 09:52:06.042000+00:00,mysql,200,available,"""env"": ""prod"""
rds:licensing-prod-2023-07-14-09-52,licensing-prod,us-east-1,2023-07-14 09:52:52.615000+00:00,mysql,200,available,"""env"": ""prod"""
rds:licensing-prod-2023-07-15-09-51,licensing-prod,us-east-1,2023-07-15 09:52:04.120000+00:00,mysql,200,available,"""env"": ""prod"""
rds:licensing-prod-2023-07-16-09-51,licensing-prod,us-east-1,2023-07-16 09:51:49.011000+00:00,mysql,200,available,"""env"": ""prod"""
rds:licensing-prod-2023-07-17-09-51,licensing-prod,us-east-1,2023-07-17 09:52:02.426000+00:00,mysql,200,available,"""env"": ""prod"""
rds:licensing-prod-2023-07-18-09-52,licensing-prod,us-east-1,2023-07-18 09:52:19.098000+00:00,mysql,200,available,"""env"": ""prod"""
rds:licensing-prod-2023-07-19-09-51,licensing-prod,us-east-1,2023-07-19 09:51:36.832000+00:00,mysql,200,available,"""env"": ""prod"""
rds:licensing-test-2023-07-12-07-01,licensing-test,us-east-1,2023-07-12 07:01:55.722000+00:00,mysql,20,available,
rds:licensing-test-2023-07-13-07-01,licensing-test,us-east-1,2023-07-13 07:02:07.893000+00:00,mysql,20,available,
rds:licensing-test-2023-07-14-07-01,licensing-test,us-east-1,2023-07-14 07:02:25.486000+00:00,mysql,20,available,
rds:licensing-test-2023-07-15-07-01,licensing-test,us-east-1,2023-07-15 07:01:55.998000+00:00,mysql,20,available,
rds:licensing-test-2023-07-16-07-01,licensing-test,us-east-1,2023-07-16 07:02:09.814000+00:00,mysql,20,available,
rds:licensing-test-2023-07-17-07-01,licensing-test,us-east-1,2023-07-17 07:01:54.425000+00:00,mysql,20,available,
rds:licensing-test-2023-07-18-07-01,licensing-test,us-east-1,2023-07-18 07:01:34.205000+00:00,mysql,20,available,
rds:licensing-test-2023-07-19-07-01,licensing-test,us-east-1,2023-07-19 07:02:07.220000+00:00,mysql,20,available,
rds:staging-2023-07-12-04-53,staging,us-east-1,2023-07-12 04:53:58.448000+00:00,mysql,20,available,
rds:staging-2023-07-13-04-54,staging,us-east-1,2023-07-13 04:54:25.906000+00:00,mysql,20,available,
rds:staging-2023-07-14-04-54,staging,us-east-1,2023-07-14 04:54:21.441000+00:00,mysql,20,available,
rds:staging-2023-07-15-04-53,staging,us-east-1,2023-07-15 04:53:38.377000+00:00,mysql,20,available,
rds:staging-2023-07-16-04-54,staging,us-east-1,2023-07-16 04:55:09.997000+00:00,mysql,20,available,
rds:staging-2023-07-17-04-54,staging,us-east-1,2023-07-17 04:55:29.928000+00:00,mysql,20,available,
rds:staging-2023-07-18-04-53,staging,us-east-1,2023-07-18 04:54:09.900000+00:00,mysql,20,available,
rds:staging-2023-07-19-04-53,staging,us-east-1,2023-07-19 04:54:10.970000+00:00,mysql,20,available,
snapshot-2022-03-11,aws-ni,us-east-1,2022-03-10 22:23:55.311000+00:00,mysql,20,available,
snapshot-2022-03-11-licensing-test,licensing-test,us-east-1,2022-03-10 22:25:11.789000+00:00,mysql,20,available,
snapshot-2022-03-11-staging,staging,us-east-1,2022-03-10 22:24:46.439000+00:00,mysql,20,available,
v2-migration,licensing-prod,us-east-1,2021-03-02 18:04:41.010000+00:00,mysql,100,available,
