Name,Description,SnapshotId,Region,Encrypted,OwnerId,StartTime,VolumeId,VolumeSize,StorageTier,RestoreExpiryTime,Tags
DataHub4 C Drive,Created by CreateImage(i-f5b79090) for ami-0a951b56cc3113342,snap-0aed09883a8b25d60,us-east-1,False,993814764642,2023-02-04 08:44:59.115000+00:00,vol-947259d7,80,standard,,"""aws:backup:source-resource"": ""i-f5b79090:A4708A6A-0665-04F7-3C84-1D94A50684FA"", ""Name"": ""DataHub4 C Drive"""
DataHub4 C Drive,Created by CreateImage(i-f5b79090) for ami-0319050f07b8c2058,snap-0500b77a3459b322e,us-east-1,False,993814764642,2023-02-01 08:49:27.334000+00:00,vol-947259d7,80,standard,,"""aws:backup:source-resource"": ""i-f5b79090:6C8C0F31-596B-0E08-3C59-7042146B1E9C"", ""Name"": ""DataHub4 C Drive"""
,Created by CreateImage(i-0fa79a221db461eac) for ami-007068547b27956ef,snap-0135cbe919aefbd9d,us-east-1,False,993814764642,2023-02-01 08:33:32.821000+00:00,vol-09a42fc333c423245,100,standard,,"""aws:backup:source-resource"": ""i-0fa79a221db461eac:7408867D-DB8C-7581-0DFE-3B2B3B0A3299"""
,Created by CreateImage(i-021b9aa39d3451215) for ami-0b1b4ddd49dbf9bda,snap-0a1c40e7f8c3c6fb5,us-east-1,False,993814764642,2023-02-01 07:06:01.965000+00:00,vol-0f5fc694b4824fc5e,20,standard,,"""aws:backup:source-resource"": ""i-021b9aa39d3451215:F4C6453C-301E-C903-B817-D2D46EB6D5D1"""
WebFront2,Created by CreateImage(i-03258b739120ff3c3) for ami-0601d7783b5d8cb84,snap-08b8cb46f5eceab5c,us-east-1,False,993814764642,2023-01-28 07:08:54.991000+00:00,vol-0519557e3c89d15a6,80,standard,,"""aws:backup:source-resource"": ""i-03258b739120ff3c3:38D7E421-BACB-C726-B6A7-BF5C94DEC8EA"", ""Name"": ""WebFront2"""
DataHub4 Rabbit Drive,Created by CreateImage(i-f5b79090) for ami-055e15a5de64782ba,snap-06c65a6c6ff50d603,us-east-1,False,993814764642,2023-01-25 08:42:07.223000+00:00,vol-4a725909,300,standard,,"""aws:backup:source-resource"": ""i-f5b79090:7500BB8E-D6E5-D233-8ACC-4A28D6CDB1E7"", ""Name"": ""DataHub4 Rabbit Drive"""
,Created by CreateImage(i-0fa79a221db461eac) for ami-02688a549f69142bc,snap-0b057b227cbce320c,us-east-1,False,993814764642,2023-01-25 08:30:22.488000+00:00,vol-09a42fc333c423245,100,standard,,"""aws:backup:source-resource"": ""i-0fa79a221db461eac:E3BC618F-41C9-29A7-BB09-F9DEA47A6F2F"""
,Created by CreateImage(i-021b9aa39d3451215) for ami-08c1c1379f0487f8c,snap-0f43661e489814741,us-east-1,False,993814764642,2023-01-25 06:52:08.772000+00:00,vol-0f5fc694b4824fc5e,20,standard,,"""aws:backup:source-resource"": ""i-021b9aa39d3451215:FC7EF822-C043-2792-EC91-EE1B39930C34"""
DataHub4 Rabbit Drive,Created by CreateImage(i-f5b79090) for ami-0e87353bc81f6ed45,snap-05ed37e004d632b75,us-east-1,False,993814764642,2023-01-21 08:41:47.935000+00:00,vol-4a725909,300,standard,,"""Name"": ""DataHub4 Rabbit Drive"", ""aws:backup:source-resource"": ""i-f5b79090:550A3932-A681-63AA-DB10-ABF105D21517"""
,Created by CreateImage(i-021b9aa39d3451215) for ami-05b502b2baa92fb37,snap-06905019fda8ae5f0,us-east-1,False,993814764642,2023-01-21 07:10:11.712000+00:00,vol-0f5fc694b4824fc5e,20,standard,,"""aws:backup:source-resource"": ""i-021b9aa39d3451215:341C4E03-DE78-0627-0FB0-DB6438F64452"""
